,z
0,0.08022269606590271
1,3.124023914337158
2,0.07813049107789993
3,0.10561780631542206
4,0.377943217754364
5,0.2471027374267578
6,0.20263835787773132
7,0.07811340689659119
8,0.21194972097873688
9,0.21194639765816328
10,0.15873268246650696
11,0.19793155329450854
12,0.12585264444351196
13,0.15622559189796448
14,0.11813028407158888
15,0.15098898112773895
16,0.13118194043636322
17,0.2959805727005005
18,0.21123337745666504
19,0.2517052888870239
