,g BJD,g Flux,g dy,r BJD,r Flux,r dy,i BJD,i Flux,i dy
0,59742.31485062361,970.6863722912324,55.661843949921014,59742.31581746109,1185.473058973271,84.78197229188886,59742.31702600793,1590.6535275980896,168.36647224153106
1,59742.319201392245,1213.890651917672,60.17416272292815,59742.32016822972,1396.2664403903266,88.40659820534688,59742.32137677656,1830.6934284505169,187.26189590349685
2,59742.32331045151,1036.2136186417629,55.88692716828355,59742.324277288986,1313.8396266440388,82.07216080351915,59742.32548583583,1642.8269149386374,164.68892883986223
3,59742.32741951078,1202.6566325142808,56.889797674884704,59742.32838634826,1403.9372083156554,86.76207691971263,59742.3295948951,1627.2595369082885,184.64955576054356
4,59742.331770279416,1015.2416356877325,53.340634681548664,59742.33273711689,1297.428935086975,77.41933645154018,59742.33394566373,1610.7248654857626,169.31155741645716
5,59742.33587933868,1180.959289146795,56.633519175955506,59742.33684617616,1511.1921934662705,88.44155030301921,59742.34216378227,1649.356145335832,166.45784243020609
6,59742.33998839795,1005.7394142714663,52.30519777346115,59742.34095523543,1363.2753500212132,81.82353328705645,59742.3465145509,1566.0782298530924,181.55720641854134
7,59742.344339166586,1236.793906972527,58.017826877630064,59742.34530600406,1421.4170555791259,85.31469114880588,59742.35062361017,1650.021159542954,176.50416878913256
8,59742.35255728512,1177.9762444464595,60.43533749623811,59742.34941506333,1393.1947390750954,85.03046460620735,59742.35473266944,1684.148479535699,197.49225733516033
9,59743.29401527603,1343.032006528244,143.7847479722772,59742.3535241226,1489.2829868476877,92.53923753560858,59743.29183989171,1816.5165346714225,200.05053312609863
10,59743.2981243353,1037.8003445461966,127.94455226641621,59743.29063134487,1382.672889266016,149.2511615070786,59743.296190660345,1916.8732241097875,206.9375393052197
11,59743.302475103934,1262.0001813401036,143.58979996660625,59743.294982113504,1560.5260924904537,152.66025765037818,59743.300299719616,1820.295024484614,194.06984255986364
12,59743.3065841632,1083.4617825732162,124.74131171439785,59743.299091172776,1382.0789138735681,133.5050433426125,59743.30465048825,1866.060093101989,211.08888766251164
13,59743.31093493183,1139.7225496418534,130.17840529522513,59743.30344194141,1523.9202375901568,154.20833750929205,59743.308759547515,1788.3138867057614,193.7232881186546
14,59743.315043991104,1015.1600326412188,112.4518763833906,59743.307551000675,1205.0233347475603,138.71183053781562,59743.31311031615,1779.819841605707,214.08979338173287
15,59743.31915305037,1236.6579018950044,108.73551680298237,59743.31190176931,1584.8112006788288,141.68680914898064,59743.31721937542,1827.4892690889305,202.95678755909253
16,59743.323503819,1078.6381358237377,96.43058278063188,59743.31601082858,1310.4624522698346,137.27618285015922,59743.321328434686,1756.2118372528867,196.63351058742654
17,59743.327612878275,1219.675401214979,81.42243559825792,59743.320119887845,1612.1340687314382,135.27622896881002,59743.32567920332,1837.9179009733389,172.97202341131268
18,59744.288649328046,1058.6453894278723,224.42238958322193,59743.32447065648,1542.2486211285532,113.65332971173027,59743.32978826259,1978.3265824315338,171.90879656562467
19,59744.31402881176,1192.1661075346815,259.05417306346584,59743.32857971575,1583.3177768349597,102.12459839761836,59744.31185342744,2014.9628196602382,332.7039398163159
20,59744.31837958039,889.1195937981686,189.83762323600354,59744.28961616552,1503.860840050912,285.87526848955906,59750.26491346805,2540.0217641013237,231.87415509447945
21,59749.288649328046,924.0456977060478,217.43601444600435,59744.3106448806,1512.7365294866354,279.82732892304443,59750.26902252731,2618.312073030651,243.45346232135267
22,59749.29300009668,1050.7570949315443,212.6343857338627,59744.314995649234,1386.525243954179,250.3516843672458,59750.273131586575,2499.9697720814943,234.0998547197922
23,59750.26249637436,1105.1228579200292,135.3008611836832,59749.28139804699,1297.9889690284258,294.4598372159289,59750.27748235522,2504.4737319388187,236.55736375891564
24,59750.27095620226,1100.272010155046,138.81004830976377,59749.28550710626,1730.7254985150612,311.77707333113153,59750.28159141448,2315.367873768212,245.2628014689031
25,59750.2753069709,1261.91857829359,156.39382000864367,59749.28961616552,1178.718710224862,259.90158062080764,59750.285700473745,2574.421135360619,242.91947400682625
26,59750.279416030164,922.5315078429596,141.1578017064447,59749.29396693416,1856.1561306745862,265.3820655494782,59750.29005124239,2600.65896862342,229.53413422697878
27,59750.28352508943,1336.4856287968087,155.6793091175712,59750.263704921206,1742.6219770895204,153.7462554298953,59750.29416030165,2525.2100840336134,252.62611024987677
28,59750.28787585807,1126.4303200652826,134.00817007803272,59750.26781398047,1924.717861688587,173.92246868358308,59750.298269360916,2362.311831207303,244.07949667871443
29,59750.291984917334,1326.3668510291054,152.84039741640672,59750.271923039734,1737.4798472634702,159.79488050809297,59750.30262012955,2340.3361344537816,256.0521241941655
30,59750.2960939766,1008.5320518632698,130.17620561365092,59750.27627380838,1873.6868901145522,173.55199861501737,59751.28299332882,1847.8024303246477,362.0002518804969
31,59750.30044474523,1239.6862816211808,146.06068355646465,59750.28038286764,1655.8506576156128,166.2420782662615,59751.29580392536,1656.399250347621,371.3870504691717
32,59751.29362854104,818.6780306464775,178.39196514329473,59750.284491926905,1796.1815867628338,173.5644441731465,59751.29991298463,1936.6120548939002,349.02842423859687
