,g BJD,g Flux,g dy,r BJD,r Flux,r dy,i BJD,i Flux,i dy,z BJD,z Flux,z dy
0,59328.27718841119,11681.163812698895,409.01735703775046,59360.32632297289,9701.41051474629,338.30251163923623,59359.85370313929,4299.843905207888,324.947511692839,59345.93111856141,6244.093387389904,345.1636661804843
1,59328.345430858,8335.202303379298,380.63847198799556,59360.33252683169,9019.967026928007,334.9769651691276,59363.93172813167,7597.417340712357,502.76028685095974,59355.885400792446,2087.6555291486084,292.16641585114036
2,59331.34189465848,12020.003030762238,383.5500591511512,59360.33252683169,9164.682176222752,335.2763129123966,59375.84882657727,1757.2016460905352,194.5352061037187,59357.83602560195,7292.324898643923,345.97737577353644
3,59331.34809851728,13074.10213668738,375.8269968380115,59360.33873069049,8296.391280454292,340.2112660161437,59375.854922279796,2396.764580672627,238.82287332935934,59357.83602560195,7416.468614567311,343.3229168662063
4,59331.34809851728,13604.485528110321,374.87090870928586,59360.33873069049,7032.881480124564,325.1797176992473,59384.79731789089,6654.888605080174,330.001258797646,59357.842121304486,6706.556689500906,344.71236519998484
5,59331.35430237608,13892.104864373392,378.9929398288941,59360.33873069049,6026.7448250595335,378.07041248619385,59384.79731789089,5495.955725840782,311.3813608227143,59357.84821700701,6488.18677477981,328.10924956335884
6,59331.35430237608,14807.395059857557,368.6801038569728,59360.33873069049,5527.569151859316,362.9812370472323,59384.80341359342,4280.4030083723555,314.5108769681124,59357.84821700701,6051.586746819514,360.530179379896
7,59331.36050623488,15007.425367479924,379.5630971930964,59388.218872138474,24017.21927092875,573.633155240875,59387.7537336178,7363.417056903644,505.8140960129956,59357.85431270954,5171.816021249824,365.9621874927878
8,59358.30386500403,18122.13971813912,501.41166503782455,59388.225075997274,24216.431580875626,536.3003641095992,59387.7537336178,6903.505037604652,481.70378430907704,59363.93172813167,5806.654550538234,533.6795951823003
9,59358.30386500403,18050.0075769056,473.4126351903318,59388.225075997274,23770.837149661114,493.8767629495491,59387.759829320334,7334.326663828577,496.6579723142481,59363.93172813167,4539.074514189849,492.9031007731561
10,59358.31006886283,17977.875435672075,501.2932501028181,59388.231279856074,23617.42077303536,500.3694243719139,59387.76592502286,5730.949340144741,447.1562922684092,59363.937823834196,5461.205088773939,515.466599865659
11,59358.31627272163,18859.827246552515,459.6206311434106,59388.237483714875,21461.348232276978,463.39656420033225,59387.76592502286,4951.184901376471,457.9367222650038,59363.937823834196,4923.109184957359,548.8234183604693
12,59358.31627272163,17509.622670101533,495.5914694340783,59388.237483714875,20716.70635647555,445.0600638016353,59387.77202072539,4413.935007804738,368.7047253816842,59363.937823834196,5867.048790717179,574.9055834720011
13,59358.32247658043,17154.72041218367,553.8620644282344,59388.243687573675,19126.67155156622,464.73992838497605,59387.77811642792,3453.6682276145866,345.4463103948286,59363.937823834196,4875.85628407661,634.2851958062454
14,59385.265835349586,15379.299893923326,339.5416932310237,59388.249891432475,18932.95475361788,456.7430319728397,59387.77811642792,2970.9096069249317,324.25233278968255,59375.83053946967,2754.928002236823,281.4284418976257
15,59385.265835349586,14787.08895287165,328.985883355837,59388.249891432475,17422.146913354096,508.98688113115014,59387.8573605608,4048.9570029799906,652.3020989925982,59375.83663517221,2393.12176709073,262.9094424574848
16,59385.27203920839,13810.577360206094,315.97318082017944,59388.256095291275,15433.687488551019,472.99695912968343,59390.874733313016,7104.583510713777,343.69724785666864,59375.842730874734,3519.362505242554,322.4925869736659
17,59385.27203920839,12723.746022124566,323.3408095803562,59388.256095291275,11604.689503572085,562.2097976741146,59390.88082901554,4227.89839648077,378.2515037646058,59375.842730874734,1395.0789878372716,259.55069184232747
18,59388.218872138474,17128.655856948026,583.9036971127518,59388.262299150076,9715.607254075836,558.347127419306,59390.88692471808,5272.314460053922,328.86857588330605,59384.79731789089,2876.275688522297,327.3441046343666
19,59388.225075997274,17227.15562964086,615.213270706742,59388.31193002047,10194.632716614764,525.8255176646467,59731.87442852789,1485.4548034624668,233.670162107419,59384.80341359342,2803.5789179365293,327.25586954497834
20,59388.225075997274,16241.551750265196,563.2832318580852,59388.31193002047,13733.284484337793,556.1681592111828,59740.89606827187,4315.879097488291,401.2417256625262,59387.7537336178,4779.393261568571,454.8915196273901
21,59388.231279856074,15552.65949386271,532.352868675174,59388.31813387927,15428.649935885695,613.1768433566789,59740.9021639744,4563.644103873988,416.43881550031733,59387.759829320334,4373.409758143435,453.6193366921274
22,59388.231279856074,14392.786785876651,544.5379665389968,59388.32433773807,15828.906393112295,683.632608512347,59740.9021639744,5225.911735490278,423.3377309279508,59387.76592502286,3285.0552215853477,433.0492442082807
23,59388.237483714875,13011.062282163966,522.3671057580372,59388.32433773807,15991.023997069064,776.3543886410158,59740.9021639744,5794.096778771107,492.3264618109855,59390.874733313016,5573.88508318188,397.4252281382768
24,59388.243687573675,13770.571298681622,534.4790558015029,59388.33054159687,18618.33669170178,755.2144513910933,59740.9021639744,6728.820774797784,478.9175332803785,59390.88082901554,4582.1333706137275,333.956030322804
25,59388.243687573675,12116.381269889378,500.5506808980439,59391.35182083256,21121.54240703426,390.87427308957064,59740.90825967693,6564.495530012769,428.62623493108975,59390.88082901554,3326.855864672165,328.9119047393322
26,59388.249891432475,10231.550234884073,489.67718142789414,59391.35182083256,20723.575746473718,384.40652920490993,59746.88814385858,2037.6046544628916,309.145090238414,59390.88692471808,3145.5333426534307,307.70164320702594
